polarity	sentence
-1	Vergonha Acabo de comprar a aplicação e não funciona!!!! Se têm conhecimento deste problema deviam retirar de emediato a aplicação do mercado para que futuras pessoas não cometam o mesmo erro que eu. Quero ser reembolsado na totalidade o mais rápido 1sivel
1	Filipe Impecavel ta muito bom o jogo baixem   E uma aplicacao 5*  recomendo
1	Cs Esse eu curti, grande jogabilidade, grafico otimo, eu recomendo
1	5 estrelas. Muito bom!
1	Excelente. Gráficos e habilidade muito boas. Recomendo!
1	Viciante Esse jogo é demais! Estou viciada rs
1	Viciantee Nossa, esse jogo é muito legal e, vicia pra d+  haushaushau. Só deu problema para dar play... mas acho q é por causa do meu aparelho.  Recomendo a todos!  )
-1	Tinha tudo pra ser um otimo jogo mas a jogabilidade eh pessima.
1	Muito legal eu recomemdo E mt legal e radical
1	Legal,porque a imagem é perfeita.
-1	Não gostei de um detalhe Instalei o Game e quando fui abrir pela 1º vez pediu para que eu fizesse o download de 385MB adicionais. Desisti na hora.
-1	Pensei q fosse melhor.
-1	Nao abre Nao abre no meu galaxy pocket
1	Excelente! Adorei o jogo! Para ja ainda nao tive nenhuma pergunta 2 vezes!! Apesar de que e muito dificil chegar ao Milhão, dou 5*! Tambem gosto do jogo da forca!! Parabens!  )
1	Sony Xperia Arc Esse Angry Birds, de certa forma, é mais do mesmo, pois a única coisa que muda são as temáticas disponíveis no game, mas o restante passa a impressão do tipo já joguei muito isso, e parece não ter novidades, porém, isso não quer dizer que o game é ruim ou +/-, ele é bom, mas a única coisa que poderia deixar ele melhor, era uma evolução do tipo, que tivesse alguma funcionalidade nova.
-1	Cruel Não rodar no SIII é brincadeira!
1	Perfeito Muito bom!
-1	Samsung Galaxy SII Eu já fechei o jogo e não consigo jogar mais. Está dando erro de licença e me dá a opção de comprar uma nova, mas quando abre o google play ele só dá a opção de abrir o jogo e volto para o erro de licença...
1	Wataf Jogo muito bom
1	MUITO BOM Muito bom vale as 5 estrelas deveria ser pago esse jogo de tão bom que e ta esperando o que baixa logo
1	oyimo adorei esse jogo!!!
1	Muito bom... Pena que nao gosto muito de simuladores de corrida, prefiro jogos como Asphalt 6, mas esse jogo é bom... E difícil, kkkkkkk! Recomendo...
1	É meio coplicado pra baixar, más é o melhor de corrida 3D que já ví. .
-1	Monstros Não gosto de monstros... Ficou meio que nada ha ver
1	Excelente Rodou muito bem no Sony Tablet, proporcionando horas de entretenimento.
1	Muito bom Nossa tudo  do android market e da hora
-1	E mt pebado isso
1	Muitoo bom Gosteii
1	Excelente Ótimo pra passar tempo,praticamente igual ap do PC
1	Maneiro Muito bom muito gostoso de jogar
-1	Horrivel Um jogo muito fraco, de graficos maus, e lento. Nao vale nada...
1	Recomendo Muito legal e ótimo passa-tempo!
1	Bom Facil. Bom para criancas
-1	Travamento Travando no m meu razr, com ics o mesmo erro que todos estão sofrendo.
-1	Tina Muito ruim , imaginei que o jogo tinha diversas fazes ,mas tem que jogar 30 vezes pra ganhar dois itens na bandeja .Muito merda !!!
1	Perfeito Parabens gemelof o jogo e exelente do cinco estrelas para o criador adorei o jogo merese essas estrelas, as cenas do jogo sao mas reas ,o jogo fusionou muito bem no meu tablet adorei mesmo o real futbol 2013 , melhor que o de 2012 tenho fifa pes e o real futbol e o melhor de todos eles Mas pode melhorar no ral futbol 2014.:-) .
1	Muito bom! Melhor jogo q ja baixei,,recomendo muuuuito
1	O jogo é perfeito Mais so nao dei cinco estrelas pq agr ele fika saindo sozinho
1	Excelente Muito bom o jogo! recomendo.
1	Sem comparação Pqp Mto bom...
1	Excelente roda muito bem no motorola xt300
-1	Wdona98 Nao presta
-1	Tempo e dinheiro perdido! A Gameloft deveria informar para quais celulares o jogo é compatível,  os 15 minutos são insuficientes para a desistência da compra dado o tamanho do jogo.  E aí como fica perdi meu dinheiro e tempo baixando dados!
1	Baixem Eu recomendo ja consegui fazer varias pessoas perderem a cabeca com isso
1	Fruit. Ninja free É. Um. Jogo muito legal. E. Tem. Que ter agilidade para corta as. FRUTAS. Mas cuidado com as bombas
1	:) muuuito bom
-1	Coco lixo Não recomendo
1	Para as horas vaga Jogo viciante, portanto administre bem o tempo que passa frente a ele. No mais, estimula o raciocínio no que condiz a organização, captação e distribuição de verba. Meu código: a8x75e.
1	Layla samylle '  ) Geeente ameeei , eu dei um susto mt grande na minha amg ( maria vitótia ) eu dei um susto nela na frente do menino q ela gostava , ele ficou com mow vergonha dele kkkkkkkkk . Recomendo a vocês  D
-1	Galaxy 5 Ele baixa é tudo mais mais quando  vc abre o jogo aparese       Jogar       Instruçoes Ai quando a gente clika no jogar nao vai nas instruçoes tbm nao vai !!
1	Este jogo é o melhor de sempre!
1	Bacana Depois de certo tempo se torna enjoativo, mas a idéia do jogo é muito interessante.
1	Bem legal Joguei pouco mas estou gostando bastante.Parabéns aos desenvolvedores.
1	Legal Muito bom Vale a pena persistir..
-1	Muito chato Muito custo não baixem não vale a pena
1	Otimo:-) Sem reclamações referentes ao aplicativo e exemplificamente um perfeito passatempo gostei muito do App   Parabéns aos desenvolvedores !!!!
1	Carlos vycttor Eu sou o melhor nesse jogo zerei em 30 minuto o plus e free viciante quero ver alguem bater meu recorde
1	Excelente Grandes gráficos. Recomendo.
1	Menho jogo Adorei ese jogo
1	Ótimo Melhor passa tempo pra android!!!
1	Legal e viciante Ele passa informações legais pra quem quer saber mais sobre as empresas  D
1	O melhor Muito viciante, recomendo
1	Paty Adorei o jogo e ja fiquei viciada nele.
1	Excelente Super legal. Ainda nao vi melhor...adorei
1	Legal E muito legal pode baixar
1	Lucas gabriel Meu recorde e de 500890 Jogo viciante recomendo para quem gosta desse tipo de jogo
-1	Uma droga Não assusta ninguém bela porcaria!
1	Diversão garantida Muito ao estilo do angry birds mas com o seu toque de originalidade. A diversão durante horas está garantida. A palavra seca deixou de ter sentido!
1	Tesouro do baú Este é para mim um jogo intemporal, comecei a jogar o elifoot 2 num velhinho 286 ainda em dos. E foi um jogo que sempre me acompanhou ao longo dos tem1, é um jogo que nunca me farto de jogar devido à sua simplicidade, para ser sincero não gostei tanto das versões seguintes. O básico de começar na 4a divisão e ir subindo para mim é fantástico,  ainda me lembro de estarmos 5 e 6 amigos de volta do 286 a fazer guerra pelos jogadores de leilão. Muito bom, parabéns e muito obrigado por este pequeno tesouro!!!
1	Bom d+ Essa galera criada a ovomaltino e leite com pera não entende... este é o famoso clássico Elifoot II bem antes do 98, simples e prático, o que poderia era ter uma maior frequência na venda de jogadores, pelo menos 1 a cada 2 jogos, pode até ser difícil, mas da para chegar na primeira! Pena que os nomes fora do brasileiro e paulista estão zuados! De resto, cópia fiel do II! Parabéns
1	Gostei Gostei bastante não é enjuativo e super divertido!
1	Excelente Muito top
-1	Tela escurece no galaxy y Aparece a tela inicial de boa... mas na hora da diversão escurece tudo e só fica o som.
1	Galax y Aaaagoraa sim O jogo ta bom Mais pode melhorar,aconpanhei o desenvolvimento do jogo E melhorou muito Parabens....mais nauh parem.....to ancioso para as proximas atualizaçoes Bjss
1	Real football 2012 Muito Bom, para um free. O pes 2012 e melhor, mas e pago.
1	Interesante Divertido da pra passa o tempo a funçao de jogar as musica do sd é um pouco bugada as veses nao acompanhas a musicas
1	Nota 10 Mt boom meessmo!!!
1	É da hora mais pq o jogo tem qe aparecer dentro de outro celular
1	Bom Aconselho. Faz passar bem rápido o tempo com muita quebra cabeças. Vale a pena ter no seu tele.
1	O game Muito bom para quem pega condução demorada
1	Show Muito bom isso !! De susto na  sua mãe !!
1	Muuuiitoo bomm Esse eh o melhor game para sistema Android.... Recomendo...
1	Joguinho bacana Muito legal esse joguinho..Aguardando mais fases
1	Nossa, bom de mais!!
-1	Vcd N sei d nas mas e um fracaso
1	Muito bom Otimo p passar o tempo! Prefeito
1	Galaxy Y Ótimo jogo pra passar o tempo.
-1	chato fui ver qual é desse jogo do momento  pqp é chato bagaraiiii !!!!!!
1	Naskerik O jogo e bom mais ainda tem como melhra
1	Uhuuul, e um otimo jogo
1	Adorei So  demora para caregar
1	Top GTA brasileiro
1	Cott Mtu bom o jogo, bem parecido com os de play
1	Muito divertido!!!!!! Ótimo passatempo! Leve e divertido.
1	Muiiiitooo boooom Esse jogo e muito bom eu tambem recomendo
1	Perfeito no GALAXY S I9000B. Ao contrário doque muitos estão dizendo aqui, no meu GALAXY S I9000, rodou perfeitamente. Quem quiser que faça o teste! Eu, pelo menos, estou adorando! Muito bom!
1	Muito bom. Ótimo jogo, ótima dirigibilidade e ótimo preço. 8-D
1	Otimo Viciante,não consigo mais parar de jogar.
1	Muito bom! Bom para aprimorar reflexo.
1	Excelente jogo!! Excelente jogo. Pena que cheguei no nível  100 em 3 horas.
1	Mto bom Mto divertidooooo
1	Xperia s Ele gasta quaze todo o dinheiro que vem nele ao instalar e fica com poco e os jogadores cansa mntoo facil. Tirando isto e otimo!
-1	Eh uma merda, horrivel (:  sigam-me :   @paolazimmermann eu sigo dvt
-1	Nao abriu O jogo não abre no meu S3. Apareceumas paginas pra fazer download mas nada de jogo.
-1	ARRUMA ARRUMEM ESSE MALDITO BUG!!
1	Muito bom esse jogo, 1sui ótima jogabilidade, fácil e viciante, e roda bem no xt300.
1	Ótimo jogo, despensa comentários.
-1	Horrivel é muito injusto o time sobrenomesissi contraio nunca coonta a falta del nemdapra jogade 2
1	Muito bom O jogo é viciante , uma pena que por enquanto não tenho mta gente com quem jogar , e as pessoas q o jogo acha demoraaaaa pra responder !!
1	jhonata bom demais
1	Gostei Soh faltou o idioma em portugues.
-1	Ruim hein. Estou sendo modesto. Sem utilidade nenhuma.
-1	Jogabilidade Ruim Jogabilidade horrível e travada, a jogabilidade devia ser igual ao do jogo Dead Trigger que tem pra mim o melhor gráfico de tds os jogos grátis
1	Perfeito Simplesmente simples e jogavel @william_dare
1	Lucas Ainda to baixando mais minha namorada tem é um otimo passa tempo...!!
1	Recomendo Muito divertido para jogar com os amigos e desconhecidos...
1	Ana Legal  ')  o meu jogo nota 10
1	Show Muito bom jogo prende a gente do comeco ao fim...alex
1	Viciante Muito bom e viciante!
1	Galaxi note Muito bom mesmo, vale a pena tem algumas opções bacanas pra quem esta acostumado, algumas damas que se vê por aí, varias jogadas são proibidas e esta atendeu as minhas expectativas nota 10.
1	Muito bom Gostei !
1	O melhor O melhor que existe aqui. E principalmente por ser grátis e com qualidade.
1	Helena O   jogo  de  mais   eu   amoooooooo ece   jogoooooooooo
1	Zigo Muito bom mesmo parabens
1	Excelente in Este jogo r o melhor
1	Adorei! Amei esse jogo!
1	Muito bom. Adorei....
1	Otimo jogo Viciante e muito bom recomendo
1	E bom Esse e pika
1	O melhor q esiste Este jogo de domino e o ponta de 5 , o meu jogo de domino favorito
1	Muito bom Baixemmmm!
1	Excelente Simplesmente a melhor versao do angry  Se vc baixa juro q nao vai s arrepender
-1	Sem graça!!! Perdi meu tempo baixando esse jogo q agente só da a partida e troca a marcha pronto,fim da corrida.. Desinstalei permanentemente!
1	Mtt boom mais é meio chatoo mais é daorinha prá quem gosta pega mtt bem no meu i1
1	Amei Gente vale a pena baixar mt criativo msm baixem msm
1	Angry birds Esse jogo e otimo pena q na segunda vez q fui jogar travou
1	AquisefazAquisepaga Foi muito bom . Gostei muito dessa rede social , eer merlhor ki u feicibuk
1	Bem legal Baixem, é bom pra ficar jogando e passar o tempo xd
1	Divertido Só não dou 5 estrelas porque tem musica que ele não termina , tirando isso ele é show
1	Muito bom! É uma sequência de um jogo clássico, muito bem feita, por sinal. A Rovio só fica devendo por não ter se interessado em atualizar o jogo e ainda não permitir o salvamento do jogo no cartão de memória.
1	Muito bom Bom jogo, otima jogabilidade mais a unica coisa ruim e que tem que esperara a energia carregar
1	Muinto bom Aplicativo exelente
1	Maaravilhoso perfeito Esse jogo e dos melhores e show de bola, o unico problema qwe tenho qwe comprar as outras faces, mas tmbem vale a pena jogar
1	adoro amo este jogo
1	Muito bom e criativo! Excelente jogo, achei bem melhor que o angry birds. Muito interessante, de bastante criatividade. Bom para quem gosta de puzzles e de criação.
-1	Lixo Adorei o jogo e ate paguei achando que ia ter o jogo completo mais tudo tem q pagar. Tnc
1	Otimooo Bacana demais.. Otimo para destrai
1	da hora man...da pra da uma brisa !
-1	Nao roda no galaxy ll Poxa! Não sei o que acontece,pois não roda no meu galaxy ll  aparece uma mesagem de pacote inválido. Se alguem souber como resolver eu agradeço.
1	Vitor Mto bom.
1	Bom de mais. Perfeito no defy
1	Bom jogo Bom jogo vale a pena baixar !
-1	Nem pensa Nem pensa em baixa não presta virus
1	Fantastico Muuuuito bom...recomendo.
1	Muito bom e bastante viciante!funciona muito bem!
1	Muito Bom Muito divertido, você não enjoa do jogo, realmente muito bom.
-1	Tem que melhorar muito. Espero Uma versao 2013 1000vez. Melhor.
1	Mt bom tenho o bmx e esse, Runnergames por favor faiz um de le parkour agradeco vlw pela atenção
1	Muito bem feito!!! E agora free!!! Bom jogo....o mais legal agora e q e free!!! Se tiver alguma guilda br ai me avisem... meu nick e Pedreiro so me mandar mensagem t+++!!!
1	Baixe e relembre os velhos tem1 Muito bom relembra um pouco os jogos antigos
-1	Lixo Chato pra caralho dá nem pra entender nada so baixei pra ganha zen em zenonia3
1	Ótimo App muito bom pra passar o tempo. Recomendo!
1	Bom Rodou bem no meu motorola razr e é excelente um jogo mt forte da gameloft bem melhor q o rf 12
1	Passa tempo perfeito Muito massa.
1	Blz de Atualização Nota 10, essa atualização faz com que o jogo 1sa ficar totalmente no cartão de memória. Gostei muito, jogo perfeito!
-1	Falha dos botoes Cada celular tem um limite de quantidade de botões multitouch. Fiquei frustrado ao perceber que mesmo comprando um Xperia S que suporta 10 toques simultaneos na tela, esse emulador não rola nem jogar Super Mario World por não conseguir correr e segurar um casco. Não adianta nada arrumar e atualizar parte gráfica enquanto esse erro grotesco continuar. Não recomendo.
1	Jogo muito bom demais vale apena baixar Jogo muito bom vale cinco pontos
-1	Tosco Jogo ruim, credo!
1	Muito bom Otimo passatempo, apesar de so ter 20 paginas, espero uma atualizacao o mais rapido 1sivel, funcionou muito bem no samsung sll.
1	Renata. Amei esse app eu baixei pro meu galaxy sII lite e é maravilhoso , todos que perguntam eu recomendo , agora estou baixando pro meu tablet se tivesse mais algum aparelho com androide tenho serteza que seria o primeiro app
-1	Joao policena Nossa + como bcs falam que um jogo desse e bom
1	Bom de mais Jogo muiti bom
1	Parabéns nossa viajo nesse emulador .. parabens :)
1	Para quem quer raciocinar é o excelente! Adorei.
1	Ótimo Excelente jogo!
1	Jorge Muito bom baixe não vai se arrepender
1	Adriano lg Optmus one Mt firme o jogo grafico mt Legau Jogabilidade 100%
1	Muito bom Adorei da pra passar bem o tempo
1	Subway surfers O jogo e demais, extremamente viciante,baixem nao vao se arrepender
1	Eu gostei muito desse jogo...
1	Nickol Muito viviane jogo mais legal que baixei,muuuiiittooo pressão!!!!!!!
-1	Comentario de fred pedigone Parabems para os caras q fizerao essa bosta cara ele  trava no meio da corrida e aparece o aplicativo paro d funsionar cara na boa esse jogo é uma bosta pro meu galaxy duos q porcaria
1	Muito legal Otimo jogo e gaficos
1	Muito loko esse jogo! Pega bem no Xperia X10 Mini Pro
1	Espetacular Mt bom jogo.aconselho a compra
-1	Não funcionou No meu Xperia mini pro, não consegui jogar. Não consegui clicar nos botões pois não houve res1ta aos toques nas tela. Uma pena.
1	mt bom um dos melhores games de pool para android...
-1	Lixo Até tenta ser bom, copiando a fórmula do temple run, mas trava muuuito e quase sempre trava o celular todo e eu sou obrigado a tirar a bateria do celular pra voltar a funcionar. Muito mal programado! Milestone 3
1	Mt bom Recomendo   .
1	Bom!! Bom passatempo.
1	Bom Mto legal. :)
-1	Nao e muito bom lento
1	Melhor jogo Viciante !!
1	Fany Eu gostei mto desse jogo é um bom passa tempo eu recomendo
1	Exelentemente Graficos musica jogabilidade estremamente fantasticas
1	otimo jogo como sempre
1	Viciante Reserve horas...
1	Otimo jogo Jogo simples mais viciante muito bom  de jogar.
1	Restaurant Amo muito esse jogo é viciante.
-1	NÃO FUNCIONOU!!! MOTOROLA RAZR XT910 BAIXEI O JOGO NORMALMENTE, INSTALOU DE BOAS MAS NA HORA DE INICIAR ELE SO PISCA A TELA E VOLTA PRO MENU ....
1	Tai Bom demaiss
1	Achei o jogo muito legal
1	Defy Muito engraçado o aplicativo! Dá para sorrir
-1	Não dá pra apertar os botões e o direcional ao msm tempo.... Só por isso não prestou muito
1	otimo muito legau,rodou d boa no meu galaxy y,nota 10,podem baixar,incrivel
-1	Nao funciona Comprei mas não funcionou no galaxy tab
1	É muito bom e divertido!!!!!!!:  D
1	angry birds pelas recomendo pra todos
1	Vxjgg fe E um espetaculo
1	Jardel Muito bom!
1	Muito bom o jogo Ótimo jogo sem dúvida diverte e é um ótimo passa tempo
-1	Nao rodou no zte...
-1	Meia boca Bem ruinzinho
1	Muito viciado neste jogo, recomendado
1	Excelente Execelente jogo. Gostei mt. Podem baixar sem medo, eu aconselho.
1	muuuito loko vei achei mto legal e o gráfico e mto bom e pegou certinho no meu galaxy pocket
1	Gostei dele no flipout, joga direitinho ainda mais com a seta do teclado
1	Maravilhoso Muito divertido e viciante. Simplesmente o melhor.
1	Rafael Um dos melhores jogos q joguei!
1	Muito bom Adorei o jogo. Rápido viciante e muito divertido. Vale a pena
1	Bom. É bem legal, recomendo!
1	Vício total mano . Ótimo para quem gosta de jogo violento eu recomendo da galera
1	Muito bom Amei,e super legal.
1	Jogo infantil porem divertido Se for apresentado com niveis de dif. Maiores ficaraoito estrelas muito bom.
1	Otimo Gostei, para criança então e otimo.
1	Muito bom Muito Vicente
1	Otiimoo Muiiitoooo booom. Primeiro aplicativo q achp bom o suficiente pra receber minha nota. 5 estrelas concerteza
1	Otimo Adorei, só nao gostei das propagandas, tem muitas que dão susto, por favor tirem-as.
1	Muito boooom!! Baixe pq vale a penaaa, viciante!!!
-1	Galaxy Y No meu galaxy Y não funcionou, a tela ficou toda quadriculada e escura
1	Recomendo Amei!!!
1	Firme Toca até a música do nightwish oooo
1	Bom jogo Bem divertido.
1	Muito bom! Muito bom mesmo este jogo.
1	Muito boom ! Jogo exelente , e viviante =D
-1	Decepção Agora essa porcaria não passa da apresentação. Gameloft = shit.
1	Muito bom Muito bom o minecraft
1	Mt bom Mt bom no asus prime
1	Muito bom ! Bom demais !
1	Ótimo. Funciona bem no Xperia
1	Totalmente viciante Quando voce começa a jogar, voce nao para NUNCA.
1	Esse jogo é tudo d bom!!! *-*
1	Excelente O melhor jogo do mundo
1	Gostei Otima jogabilidade
-1	Olha, pra começar agente tem a expectativa que uma nova versão vai ser mais real e moderna como aconteceu do aspalt5 para o aspalt6 mas as mudanças do aspalt6 para o aspalt7 não foram tão significativas já no início do jogo a marca gamelof deixou de ser dinâmica e ficou uma coisa fixa horrível, ainda não encontrei as configurações de controles de direção aceleração freios e turbo vou continuar testando ....
1	10 Esse jogo e mtt legal mtt irado acho que todos viciam + eu ja instalei no meu smarthphone so q eu tive q restaurar ele e apago mais eu tinha tirado meu cartao de memoria espero q instale agora né...esse e um otimo jogo vcs vao gostar =D
-1	Merda Podre
1	Muito interessante para trabalhar o raciocínio da criança
-1	Chateado O jogo apagou meu save com a ultima atualização isso nunca aconteceu no meu android e um absurdo.
1	Sobre o jogo Esse jogo e muito legal!!!
1	Gostei É muito legal, e dá passar o tempo numa boa, não tem bugs e rodou bem no meu galaxy 5. Mas acho que é um jogo feito pra tablet, pois é chato pra reconhecer o toque, só por isso não dei 5 estrelas
1	Ingrivel To adorado o jogo, muiti bom mesmo.
-1	Besta O cara que inventou isso nao merece respeito algum devia toma vergonho na cara
1	Muito bom o jogo, pena que trava um poco no spice xt300
-1	RIDICULO Ridiculo demais ter que dar 5 estrelas antes de testar, e bom guardar o nome do desenvolvedor...
1	Massas Muito ótimo
1	E iradao esse jogo contratem
1	Excelente no Xperia E15a.
1	super legal baixem e muito bom
1	amoooo Eu adoro esse jogo
1	Sem dúvida O MELHOOR
-1	Acho filho da puta Uma merda
1	E bom Cara e otimo mas eles poderiam lança uma atualizaçao para as frutinhas como o morango
1	Fods Jogo legal funciona Bem ^.^ boa diversaao
1	Agora em português Excelente e agora em português
1	Facil rapido agradavel Diversao e muita musica de qualidade um aplicativo indispensavel para se divertir a qualquer hora
1	Pr.pessoa Legal de mais
1	O loco Viciante
1	Muito bom Maravilha
1	Demaiis Muito legal e viciante
1	Muito bom... Um jogo viciante.    Akara da RIQUEZA.
1	Muito bom muito bom mesmo.
-1	Nao da Fica falando q eu nao to na net porraa eu to sim droga nao baixem e um lixo
1	eue Muito massa
1	o melhor jogabilidade 10 gráficos 10 jogo muito bom igual cs no pc..
1	F E mto bom
1	Muinto bom eu recom mendo jogar
1	Muito bom É igual a wmw mas ineitor's são mais legais do que as armadilhas
1	Excelente Show muito bom o jogo.
1	Muito bom Vale a pena conferir...
1	Naun Baixeii Ainda Mais Meu Namorado Tem No Android Dele, i eh Super Divertidoo.
1	Viciante, estimulante, roda mt bem no i1
1	Otimo Bom jogo para passar o tempo.
-1	Essa porcaria nao funciona odiei .
1	Muito Bom! Muito bom!  Instalei sem muita esperança mas foi uma grata surpresa!
1	O melhor Roda sem problema no Samsung galaxy s 3.
1	Showwwww Lg  Optimus 2x  dual core android 2.3.4 tudo roda macio esse jogo em hd é melhor de tiro depois de atualizar abril varias fases showwwww
1	Song pop Muito bom esse joguinho.. vicia!
1	Muito lokoooo Recomendo... muito lokpoo
1	Quebra cabeça Muito divertido
-1	Péssimo Jogo ridículo.
1	Excelente! Eh o melhor da categoria.
1	Otimo Com GS2 gira perfeitamente. Um dos melhores jogos que já baixei. Recomendo, mas aviso, é viciante!
-1	Travado Não consigo logar pelo Face..load infinito... E o sac deles fica mandando msg padrao sem ler meu problema.  Galaxy S
-1	Uma merda,trava toda hora,muito ruim,não baixem,se vc instalar vc perdeu um tempo de sua vida a toa
1	adianta adorei
1	Jogo viciante Muito bom, recomendo.
1	Gabi p500 Nuss esse jogo e massa mt bom amei
-1	Lixo Nao funciona em nenhum celular ou tablet chines...prometeram resolver a meses e nada acontece
1	Muito. Bom vale super a pena baixar nunca vi jogo tao legal. Meu pai se amarra rs. Recomendo
1	Muito,bom Muito bom.. Simples mas viciante. Funcionou bem no galaxy y
1	Sesacional Bom dr mais ja zerei o 1 e agora to tentando zera o 2
-1	Merda d propaganda Depois d um tempo, cada fase tem uma propaganda q te leva pra um site, uma merda, antes nao tinha, nao sei o q acpnteceu
1	Boom! Excelente di+!
1	Excelente Muito bom. Aconselho.
1	Muito bom!!! So leva nota 3 pk e preciso ficar muito tempo a espera para ganhar stamina para continuarmos a jogar...os graficos sao bons
1	Muito Legal Gostei demais não me arependo de estalar este jogo gostei muito parabéns beijos isac sp
1	Bem divertido... Vale a pena ter, muito bom para a hora do rush, ou aquela espera no consultóriomédico.
1	Alguem sabe como tirar os anuncios que fica??... fora isso o jogo é legal.
1	D+ Mto bom passatempo!!!
1	edumax S3 um dos melhores do android sem duvida mto viciante
1	Excelente!! Ótimo passatempo!! Viciante!!! Recomendo!!
1	Muito bom Gostei muito deste jogo.
1	Muito bom É bem divertido.
1	Muito bom Pra quem curte truco, esse eh otimo. Dou muita risada com as frases. DEFY
1	muito bomm pra quem gosta de rpggg
-1	Porcaria Perca de tempo nao vele a pena.
1	Gta rlz Muito bom não deixa nada a desejar, roda liso.  Tomara que saia novas versões.. :-)
1	Bom Viciante o jogo
1	Ate q infim Eu ja nao via a hora desse jogo sair para android e sinplesmente nota 1000 totalmente viciante ja jogava no celular so meu primo agr n largo meu celular de tao viciado q fiquei meu record atual e de 4387 pretendo alcansar 10000 kkkkkkkk flw
1	Otimo Otimo jogo divertido e com grafico ecelente
1	Perfeito Perfeito o jogo.
-1	Grafico ruim, lento e não é tão bom quanto na foto
1	Melhor passatempo do android
-1	Horrivel nao pega no meu tablet mas no iphone sim
1	meu preferido rodou perfeitamente no meu galaxy y eu amoo esse jogo, de boa pode baixa !!
1	Muito bom Muito bom pra quem gosta de usar a cabelo  *
1	Adorei Muito legal mesmo!!!
1	Muiiito bom! Não paro de jogar :)
-1	Todos os jogos da gameloft Todo jogo q eu baixo desse desenvolvedor fala que meu aparelho eh incompativel com o  samsung galaxy x.vai ser ruim la na casa do chapeu.
1	Magdiel Muito bom! Poderia haver animacoes tridimenciomais tbm?
1	Muito bom. Excelente jogo, gostei muito. Roda liso no atrix.
1	Otimo Muito bom o jogo...
1	Top Resomendo.
1	Lg optimus l3 Muito bom esse jogo!!
-1	Enquanto não funcionar... Acho um absurdo ter que mudar as configurações do aparelho para que o jogo funcione. É um jogo pago e exijo que este funcione de maneira adequada, portanto, enquanto não consertaram o bug dou a nota mínima.
-1	Tava legal, mas o mercado parou de funcionar de ontem pra hj.
-1	não. sei porque mais o jogo só trava, não dá. para jogar. Eu desisto.
1	Otimo jogo,, no meu xt 300... funcionou perfeito.
-1	Ruim Eu não  consigo joga da erro
1	Alvaro Muito bom. Rodou perfeitamente em meu Mini.
1	Elicio.eds Otimo so deveria ser mais fasiu de manter o carro na pista .mas dou 5  estrela
-1	No meu Galaxy S ele não funciona
1	Legal Da pra passa R o tempo
1	Likes em: pou_renattah Mto divertido, viciante. Eu q nunca tive um tamagochi tô tendo um mil vezes melhor. pra quem qr se distrair e divertir ele é ótimo. O ruim é q vx tem q ficar atualizando pq se não o app dá uns tiuchi Kkk mas eu recomendo.
1	Bem legal,da pra passar o tempo!
1	Excelente Muito bom o jogo, tem como distrair muito
-1	Era do gelo? Estou muito revoltado! estava quase chegando no nível 53, 98 corações pra adquirir o restaurante, quase todos os animais comprados com muitas e muitas horas de jogo, 20 milhões de dinheiro e agora, o jogo simplesmente resolveu fechar e não abrir mais! Tem alguma solução pra esse problema? Estou muito revoltado com essa situação! Agora reiniciou e tenho que começar do zero de novo!
-1	. Pior ogo do mundo,nao da pra controla a moto
1	Nick Ameiii., todos excelentes!
-1	Luiz Y Duos Da erro logo no lv 1 vou baixar d novo novo pra ver se funciona todo game da full fat da erro
1	Exelente E um jogo viciante gosto e aconselho...
1	Mt daora.quem fala q esse jogo e ruim eh pq nao sab jogar bando de burro otimo otimo adorei
1	Maravilha É um jogo muito bom pra relaxar a mente
1	Bom! Muito bom.... jogabilidade um pouco complicada,mas boa quando pega o jeito. Jogo bom!
1	douglas rodrigues Nossa esse jogo e o melhor alem de ser divertido e muito rapido pra baixa, eu aprovo e recomendo
1	Otimo jogo. Vale a pena baixar.
1	O jogo Ele é um jogo nao so para as crianças mas tambem para os adultos!
-1	Uma bosta. Não funciona.
1	Mto bom! Cuidado esse jogo é viciante.
1	Diversão garantida Roda muito bem no galaxy  Tab  2...horas jogando...
1	Avaliação Adoreii , gentee num paroo mais d jogaa , td hr ganhandoo premios , adoreii , estão d parabéns !!
1	Otimo Realidade maxima, sons e carros muito massa.
1	Show. Muito bom. Melhor jogo do gênero para celular. Parabéns.
1	O jogo e otimo mas e um pouco dificio de se concentrar
1	Muito bom Muito bom mesmo, consegui jogar de boa sem multitouch, pena q é meio caro, mas vale a pena
1	Muito bom Esse jogo é muito bom é o melhor jogo que eu ja baixei depois do angry birs
1	Espantoso O jogo esta acima da media com grandes graficos. Para mim o melhor da serie
-1	Ruin Muito ruim nao baixe ou perderá tempo!
-1	PORCARIA Nao preca seu tempo com isso!!!!!! :(
1	Muito bom! Bem esse comentário é mais pra avisar quem tenha Xperia Neo, provavelmente vai ter de reiniciar o aparelho pro jogo rodar, fora isso ele tá de parabéns! Gráficos muito bons e uma jogabilidade otima, dificil de se ver.
1	Muito bom... Ótimo jogo, mas poderia ter mais fases pois em 40 minutos ja havia  passado todas as 60 fases
1	Sensacional! Sem dúvida o melhor jogo de futebol já criado para um smartphone.
1	Muito bom! Ótimo para aprender!
