polarity	sentence
1	tudo muito saboroso e bem elaborado, os sanduíches poderiam ter um pão maior, pois o pão sempre acaba antes do hambúrguer, mas sempre delicioso.
1	O delivery é bem rápido.
1	Comida incrível!!
1	Garçons Super atenciosos.
1	Atendimento simplesmente perfeito, todos muito atenciosos e simpáticos.
1	Estrutura moderna e nova.
1	Bom atendimento.
1	Melhor hamburgueria de curitiba,tanto é que tem filial ate na terra do sanduiche,estados unidos.é caro!
1	Pizzaria muito boa, uma das melhores q já experimentei, atendimento impecável, comida de excelente qualidade, assim como bebidas... Preço justo
1	Ambiente pequeno, mas bem decorado e familiar.
1	A pizza é bem gostosa!
1	vale a pena ir recomendo a todos que vierem em são Paulo, limpo e legal para encontro com os amigos para bater um papo, bem localizado excelente
1	Simplesmente maravilhosa!
1	Bem servida, suculenta, tempero delicioso, sem defeitos.
1	Sensacional.
1	Bons ingredientes, variedade de combinações, é bem feita e tem bom preço.
1	Uma delicia!!!.
1	Boa estrutura , peço justo, boa comida!
1	Praia linda, limpa, muito agradável!
1	Os pretzels são sempre frescos e bem preparados e o atendimento é muito bom.
1	Considero a melhor pizza de São Paulo, e dizem que a pizza em São Paulo é a melhor do mundo (concordo).
1	O espaço é agradavel, a comida é boa, mas o atendimento deixa a desejar.
-1	Os preços não são tão baixos.
1	Cardápio criativo com  diferentes leituras da cozinha brasileira num lugar muito especial - bairro Santa Teresa , a Montmartre brasileira.
1	ótima opção para curtir uma cerveja com os amigos ou família, ostras sempre frescas e varias outras opções de frutos do mar.
1	Minha moqueca de arraia preferida.
1	Uma pizza deliciosa... saladas deliciosas... atendimento excelente... e o valor muito honesto... sempre que vou a Curitiba, minha pizzaria preferida.
1	O Lugar fica numa galeria com amplo espaço na praça de alimentação exceto no horario de pico.
1	simplesmente AMO as comidas deste lugar, atenção especial para o “batuta de manzo”, que é uma espécie de tartar muito não muito “temperado” como de costume de outros restaurantes, que pra mim, é um ponto positivo.
1	A comida é sempre boa e o serviço, excelente
1	Preço bom!
-1	O atendimento é problemático, não porque o atendente seja ruim, mas deixam uma única pessoa para preparar a massa, entregar ao cliente e cobrar no caixa.
-1	Há um fila e consequente demora no atendimento.
1	Ambiente agradável tanto na área interna, que é climatizada, quanto na ampla varanda.
-1	Tive uma experiência terrível com essa pizzaria.
1	Melhor opção no shopping para comidas e bebidas, ambiente muito bacana, bom atendimento e boa comida.
1	Boa variedade de bebidas.
1	Os preços são razoáveis e as porções são muito bem servidas.
1	Frequento o restaurante desde que foi inaugurado e sempre foi impecável na qualidade dos pratos, decoração e atendimento.
1	A decoração muito especial, que dá a impressão de estar entrando numa Villa Italiana é sempre impecável com suas maravilhosas hortências sempre impecáveis!
1	A qualidade dos produtos usados p/a execução dos pratos faz toda a diferença,sem contar o imperdível couvert com os pães de fabricação artezanal.
1	Um ambiente de muito requinte, agradável, super culinária italiana que amo.. fui com um primo sempre vejo pois moro bem ao lado, achei tudo maravilhoso especial, sou apaixonada por restaurantes!
1	Comida alemã excelente.
1	Ótimo lugar para comer, ambiente bem agradável, atendimento bom, comida muito boa, preço razoável... Recomendo e ao lado tem uma ótima padaria
1	Excelente Hamburger.
1	O buffet de saladas é bem variado.
1	O sundae farofino é imperdível.
1	É um restaurante de rede, mas a comida é muito boa.
1	Bar com excelentes preços no Setor Oeste.
1	Cerveja gelada, petiscos de bom preço.
1	Local elegante e reservado.
1	Bom atendimento e outros.
1	Um restaurante muito bom, com boa comida, espaço, atendimento bom, bem localizado vale a pena ir, uma das boas opções de restaurante da região.
1	A kafta, as esfihas e os kibes são muitos gostosos.
1	O preço é bem em conta.
1	Pizza rapida e em fatia.
1	Restaurante maravilhoso, cardápio variado, com uma comida incrivelmente deliciosa.
-1	O preço é um pouco salgado, mas vale a pena pela qualidade que eles oferecem.
1	Tem uma localização ótima.
1	É um kilão de qualidade, local climatizado, bem limpo, uma excelente variedades de pratos quevão do churrasco a caldeiradas e maniçoba (comida típica paraense) variedade de sobremesas, é muito frequentado pela classe média da cidade, então as vezes fica difícil ter boas mesas.
1	Excelente comida italiana com um atendimento excelente... Os proprietários preparam e servem as refeições com muita simpatia e cordialidade.
1	Local super agradável, funcionários atenciosos com atendimento de primeira qualidade.
1	Cardápio variado com destaque para as carnes.
1	A comida é deliciosa.
-1	O local só é pequeno.
1	Comida simples e barata, para quem esta de passagem pelo centro de João Pessoa, eu recomendo.
1	O local é organizado e limpo, tudo simples.
1	Preço bom, com comida de altíssima qualidade, com espaço agradável e bem localizado.
1	Atendimento de qualidade!!!
1	Comida excelente e bastante variada.
-1	Atendimento da recpcionista da porta ruim.
1	Funcionários despreparados.
1	Uma das vezes em que fui ao restaurante, chegamos após uma caminhada na praia com roupa de ginastica e fomos barrados para entrar e ainda estávamos com bebe de 3 meses no colo. Concluindo: o restaurante é ótimo mas perde por despreparo de seus recepcionistas.
-1	Os bombons já foram melhores, mais bem recheados.
1	Atendimento ótimo, comida maravilhosa e o preço não é astronômico.
1	Excelente restaurante para saborear um lamen muito parecido com o do Japão.
1	Lamen com diversas opções de caldos e ingredientes, atendimento simpático e fácil acesso, próximo a Avenida Paulista.
1	Gosto muito do burguer king pelo aspecto menos fast food...gosto de churrasco e a bebida à vontade...excelente pedida...
1	Comemos o bolinho de feijoada que estava maravilhoso.
1	Caipirinha de tangerina muito bem feita.
1	Camarão na Moranga gostoso, mais poderia vir mais quente e com menos coentro.
1	A comida é boa e o cardápio varia todos os dias da semana.
-1	O lugar poderia ser mas confortável, as mesas  comunitárias são pequenas e apertadas.
1	Um ambiente lindo com vista incrível da cidade.
1	A comida é muito boa, com ingredientes de qualidade e combinações bem contemporâneas.
1	O drink beijo de jambu é equilibrado e muito gostoso.
-1	Os pratos não são baratos mas é muito compreensível pela qualidade.
1	Atendimento muito bom tb!
1	Bastante sofisticado, com um ambiente de requinte.
1	O prato principal estava muito bom, com filé, salmão e os cortes de porcos da região.
1	O atendimento também estava bom, com muitos garçons.
1	E a música ambiente bastante agradável.
1	Comida excelente!
1	Ambiente super gostoso!
1	Lugar TOP, comida boa, atendimento muito bom!
1	O restaurante é super bonito e bem descontraído, o atendimento é bem atencioso, as refeições e os lanches são super caprichados.
1	Os acompanhamentos são maravilhosos.
1	É um dos melhores lugares no Rio de Janeiro, fica sempre a dúvida, é bar ou restaurante.
1	Indico pedir a carne assada com gnocchi a quatro queijos, vale a pena, muito bom.
1	Todos os pratos são muito bem elaborados e saborosos com um toque de requinte !
1	Fui com a minha familia nesse excelente restaurante.
1	Ótimo ambiente e atendimento.
1	O grande sucesso foi o gran chorizo!
1	Foi tudo muito gostoso!
1	Gostei muito do lugar, principalmente pelas sombras das árvores que amenizam o clima quente de porto velho.
1	Cerveja bem gelada
-1	Bons sanduíches mas nada diferentes do trivial, nas ultimas visitas achei a maionese da casa muito oleosa e sem tempero.
1	Restaurante muito bom.
1	Ambiente aberto e bem arborizado, sendo muito agradável.
1	Comida de qualidade muito boa, drinks bacanas.
-1	Preço elevado, mas vale a pena visitar e desfrutar da vista.
1	a comida é  saborosa,  o pastel tem uma massa muito boa,  tudo tem boa qualidade.
1	é  fácil para estacionar e o restaurante é  bem ventilado.
1	o banheiro é  limpo e as cadeiras são confortáveis.
1	Apesar de gostoso, bom ambiente e funcionários educados, não vale o preço que cobra!
-1	Lugar lotado , fila de espera, mas anda rápido.
1	Bom atendimento, cardápio gigantesco.
1	Comi um prato de peixe, era gostoso, nada excepcional.
1	A comida é simples e boa, o preço é bom.
1	Vale o valor pago!
1	Cardápio bem variado, com opções de comida japonesa tanto tradicional como algumas opções gourmet, além de chapas.
1	Atendimento ágil.
1	Preços médios para alto.
1	Fácil estacionamento.
1	Viemos num jantar no domingo, o ótimo atendimento já começa ao chegar no restaurante, com os rapazes cuidando do carro.
1	Proposta interessante, carnes de primeiríssima qualidade e acompanhamentos de muita qualidade.
1	Os atendimentos dos rapazes é ótimo!
1	Melhor pizza do Extremo Sul.
1	Ambiente bem legal de se comer no local.
1	Típico restaurante indiano, fomos com um casal de amigos, adoramos o ambiente que é bem familiar e agradável.
1	A comida deliciosa com boas opções.
1	Atendimento rápido e prático.
1	Ótimas carnes, um buffet impecável e um atendimento excelente.
-1	Diferente do esperado para um domingo, enormes filas, chegamos e sentamos na varanda.
1	Os pedidos vieram rápido, estavam gostosos e nos pontos solicitados.
1	E o preço é muito baixo, cerca de 20 reais o quilo.
1	Ambiente agradável, atendimento excelente, preço compatível.
1	Ambiente maravilhoso, música agradável, comida impecável e um garçom maravilhoso: Roberto, vc foi demais!!!
1	Boa opcao, almoco e jantar.
1	Spaghetti com peperonccino, apimentado na medida certa, muito gostoso.
1	A decoração é de bom gosto e pitoresca.
1	O atendimento foi simpático.
1	A comida muito boa.
1	Almoçamos um grelhado de peixe, lula e polvo, que estava saboroso.
1	Ingredientes frescos.
-1	Não é barato, mas valeu a visita.
1	Ambiente gostoso  , decoração e espaço belissimo , limpeza muito boa , atendimento nota 10 porem a  pizza deixa muito a desejar com relação a massa e sabor .
1	O restaurante frango leste é um simples, já antigo e com a cerveja gelada, tem uma comida de qualidade, destaque para o frango desossado e a paçoca.
1	Lugar de fácil acesso perto do aeroporto, tem uma variedade muito grande de sushis e bebidas, pena que não tem sashimi de atum nem polvo, mas vale muita a pena é uma ótima opção em refeição e o custo beneficio é ótimo pois lá tem sempre promoção.
1	Tudo feito na hora e tudo muito gostoso!
1	Ótima experiência gastronômica; destaque para a feijoada, o ceviche de caju e o arroz de chouriço.
1	Ótimo atendimento e boa localização.
-1	Pesam contra o preço alto, as poucas opções de suco e a decoração muito despojada.
1	Mesmo assim, no geral, uma ótima opção.
1	O Vamo é um achado!
1	Uma união de boa comida, bom preço e bom atendimento.
1	O Atendimento é sempre bom.
1	Saborosa e calorosa porque a Yeran e o Agop vão em todas as mesas ver se estamos gostando muito!
1	Além de tudo ser ótimo tem um molho de hortelã imperdível que fica acima do servidor, não percam!
1	Lugar descontraído para levar os amigos,bater papo, petiscar e tomar um chopinho.
1	Os preços são bons e fomos muito bem atendidas.
1	Lugar agradável, seguro, com estacionamento privativo, música ao vivo, um mar de bolinhas pra criançada, e os melhores food trucks e lá tb tem os melhores churros que já comi!!
1	No começo  quando eu comecei a comprar as pizzas na Carginalli era usado material de qualidade era muito bom.
1	Só que passou a vir a pizza além  de queimada com pouco recheio e a qualidade do material péssima.
1	É um dos mais antigos restaurantes italianos da cidade, a comida é muito boa, tem um rotoloni maravilhoso!
-1	Não gostamos de ir durante o fim de semana devido a acústica, geralmete é lotado e fica muito barulhento.
1	Excelente custo beneficio.
1	É um restaurante coma a vontade com clima familiar, super limpo, comida boa e variada e otimo atendimento.
1	Lugar especialmente agradável, atendimento excepcional e a comida deliciosa.
1	Ótima apresentação dos pratos.
1	Carnes Angus muito saborosas e todo tipo de acompanhamentos a um preço razoável.
-1	O serviço do Bob's é quase sempre confuso e demorado.
1	Restaurante japonês excelente.
1	Preço justo e sobremesa já incluída no valor.
1	Preço justo, serviço funcional e alimentos bem preparados e apresentados!
1	Carne saborosíssima com belos acompanhamentos também.
1	Garçom atencioso e preço justo pelo que oferece.
1	Cardápio bem enxuto, mas com itens que resolvem e agradam.
1	Preço justo e atendimento excelente.
1	E seus hambúrgueres são realmente caprichados, com nível de gordura menor que a maioria e com um pão especial, mais crocante, que vai muito bem com a carne e complementos.
